fold,auc,auprc,mcc,acc,thr,time_min
1,0.8585009230782695,0.5279239988071349,0.472206698307472,0.8202614085922152,0.7,0.5663884520530701
2,0.8694295248769248,0.5425989758300003,0.503792428688568,0.8193284472473155,0.7,0.30131881634394325
3,0.8392200759955276,0.5028200387911556,0.44530454530037644,0.8146367281763297,0.7,0.3953205625216166
4,0.8578349120332345,0.5191069377804659,0.4783539946449225,0.8228523754844266,0.7,0.3473030090332031
5,0.8555678347718018,0.5426119755317935,0.4924279001513181,0.8195062437203962,0.75,0.3545364300409953
6,0.8637430151786571,0.5424420013597545,0.4954392828070325,0.8246734605999713,0.65,0.7086228728294373
7,0.860496637768067,0.5617492538135009,0.4917869757440006,0.8238301995119851,0.7,0.5863051851590474
8,0.8509664115535972,0.5099816758428866,0.4597499717742088,0.8233009186163341,0.7,0.6216556469599406
9,0.8339288133025085,0.4885756280574581,0.44564526437219654,0.8085707621644898,0.75,0.3906195402145386
10,0.8492373151853172,0.49133948013506723,0.4771898482843224,0.8177300129180421,0.75,0.3412861704826355
